app_name,category,rating,size,installs,price,content_rating,version,app_description,os,developer
Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application,EDUCATION,3.9,32,4697650,0,Mature 17+,1.4.2,,Android,Showtime
English speaking texts,EDUCATION,4.4,353,283231,0,Everyone,1.2,,Android,Showtime
Thai Handwriting,EDUCATION,4.3,923,4441628,0,Everyone,3.1,,Android,Showtime
MTV,ENTERTAINMENT,3.8,3,3100725,0,Teen,11.45.0,,Android,Showtime
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,58,543427,0,Teen,3.1.4,,Android,Showtime
Comedy Central,ENTERTAINMENT,3.9,289,3625509,0,Teen,11.45.0,,Android,Showtime
BET NOW - Watch Shows,ENTERTAINMENT,4.2,6,1016686,0,Teen,11.45.0,,Android,Showtime
FOX,ENTERTAINMENT,3.7,1,2086771,0,Mature 17+,6.6.1,,Android,Showtime
Telemundo Now,ENTERTAINMENT,3.9,353,1627074,0,Teen,3.3.1.42,,Android,Showtime
Nick Jr. - Shows & Games,ENTERTAINMENT,4.2,626,2989187,0,Everyone,1.0.20,,Android,Showtime
Sticker Market: Emoji keyboard,ENTERTAINMENT,4.3,32,965875,0,Teen,1.2.3,,Android,Showtime
Citizens Bank Mobile Banking,FINANCE,4.1,353,3470142,0,Everyone,4.2.1,,Android,Showtime
GoBank,FINANCE,4.4,626,1435734,0,Everyone,2.131,,Android,Showtime
NetSpend Prepaid,FINANCE,4.2,32,2597009,0,Everyone,4.10.0,,Android,Showtime
BBVA Compass Banking,FINANCE,4.3,3,719381,0,Everyone,6.0.2,,Android,Showtime
Simple - Better Banking,FINANCE,4.4,58,4645343,0,Everyone,2.53.2,,Android,Showtime
PayPal,FINANCE,4.3,289,2400354,0,Everyone,6.28.0,,Android,Showtime
BankMobile Vibe App,FINANCE,4.3,3,2597991,0,Everyone,5.1,,Android,Showtime
Netspend Skylight ONE,FINANCE,3.9,58,616211,0,Everyone,4.10.0,,Android,Showtime
ACE Elite,FINANCE,4.1,289,2930586,0,Everyone,4.10.0,,Android,Showtime
U.S. Bank,FINANCE,4.1,6,1572496,0,Everyone,2.34.29,,Android,Bankers
Huntington Mobile,FINANCE,4.2,1,2777651,0,Everyone,5.2.203,,Android,Bankers
USAA Mobile,FINANCE,4.5,353,4222406,0,Everyone,8.44.2,,Android,Bankers
